Massospora_cicadina_MCPNR19.v3
DNA,0.00
DNA/Academ-H,0.00
DNA/CMC-Chapaev-3,0.06
DNA/CMC-EnSpm,0.00
DNA/Crypton-F,0.00
DNA/Dada,0.00
DNA/Kolobok-H,0.00
DNA/MULE-MuDR,0.00
DNA/MULE-MuDR?,0.00
DNA/Maverick,0.00
DNA/P-Fungi,0.00
DNA/PIF-Harbinger,0.00
DNA/PIF-Harbinger?,0.00
DNA/PIF-ISL2EU,0.00
DNA/PiggyBac,0.01
DNA/TcMar-Ant1,0.00
DNA/TcMar-Ant1?,0.00
DNA/TcMar-Fot1,0.00
DNA/TcMar-ISRm11,0.01
DNA/TcMar-Mariner,0.04
DNA/TcMar-Pogo,0.01
DNA/TcMar-Sagan,0.00
DNA/TcMar-Tc1,0.00
DNA/Zisupton,0.00
DNA/hAT,0.00
DNA/hAT-Ac,0.00
DNA/hAT-Charlie,0.01
DNA/hAT-Tag1,0.00
DNA/hAT-hATw,0.00
LINE/CRE,0.00
LINE/L1,0.83
LINE/L1-Tx1,11.33
LINE/Penelope,0.00
LINE/RTE-X,0.00
LINE/Tad1,0.00
LTR,0.31
LTR/Copia,0.22
LTR/DIRS,0.00
LTR/ERVK,0.06
LTR/Gypsy,56.83
LTR/Ngaro,0.00
LTR/Unknown,6.14
RC/Helitron,0.28
Satellite,0.00
Satellite/5S,0.00
Unknown,20.01
rRNA,0.00
